---
title: sports.log
---
Session Start: Mon Sep 06 21:08:19 1999<br>
[21:08] *** Now talking in #sports<br>
[21:08] *** Topic is &#39;24-hour sports chat on MSNBC&#39;<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
[21:10] &lt;QID|YDL&gt; MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS MICROSOFT SUCKS<br>
